,0
0,0
1,"[2.8999851839999997, -0.999989963, 1.999990566, 2.899993527, 1.000010037, 1.99999164, 0.899985184, -0.999981619, 1.999979526, 0.899993527, 1.0000183809999998, 1.9999806]"
2,"[35.21685091, 0.899995412, -0.558133647, 0.05099433900000001, 34.08542664, 0.900006118, 0.5636329179999999, 0.050186668]"
3,"[3.5173609810000004, -0.899390024, 1.999990545, 3.318001036, 1.090649074, 1.9999916030000002, 1.5273218830000002, -1.098749969, 1.999979819, 1.327961938, 0.89128913, 1.9999808769999998]"
4,"[-0.3338969051837921, -0.00676795095205307, 1.5049575567245483, -0.22541466355323792, 0.8743197917938232, 0.3273845911026001, 0.5299041867256165, -0.5402735471725464]"
5,1
6,"[3.517371246, -0.8993864309999999, 1.9999900000000002, 3.318011933, 1.090652731, 1.9999900000000002, 1.527332085, -1.0987457440000001, 1.9999899980000002, 1.327972772, 0.891293417, 1.9999899980000002]"
7,"[33.32846445, 1.4831930480000002, -0.658142233, 0.05310568, 34.31270636, 1.3716555019999999, 0.455245201, 0.05304436]"
8,"[4.138767979, -0.839918024, 1.999990544, 3.9346926860000004, 1.149643051, 1.999991602, 2.149206903, -1.043993317, 1.99997983, 1.94513161, 0.945567759, 1.9999808890000002]"
9,"[-0.2529812753200531, 0.15226206183433533, 1.3874033689498901, -0.1699104607105255, 0.9361007213592529, 0.21041899919509888, 0.6186612844467163, -0.5854132175445557]"
10,2
11,"[4.138778231, -0.839914405, 1.9999900000000002, 3.934703561, 1.149646735, 1.9999900000000002, 2.149217091, -1.043989075, 1.9999899980000002, 1.945142421, 0.945572065, 1.9999899980000002]"
12,"[36.84926967, 2.104866398, -0.611606069, 0.063996042, 41.52530568, 1.9888687880000002, 0.5192759339999999, 0.063680111]"
13,"[4.574774472, -0.785927997, 1.999990537, 4.3452892610000005, 1.200862515, 1.9999915990000001, 2.58798396, -1.015413208, 1.9999798659999999, 2.35849875, 0.9713773040000001, 1.999980927]"
14,"[-0.1749553084373474, 0.30627843737602234, 1.2845298051834106, -0.11968403309583664, 1.0203261375427246, 0.10255208611488342, 0.7172381281852722, -0.624518871307373]"
15,3
16,"[4.574784674, -0.7859242340000001, 1.9999900000000002, 4.34530004, 1.200866344, 1.9999900000000002, 2.587994095, -1.015408867, 1.9999899980000002, 2.358509462, 0.9713817109999999, 1.9999899980000002]"
17,"[32.54003784, 2.5370089080000002, -0.573998507, 0.05192507, 33.86983425, 2.4089181230000003, 0.53496304, 0.052191613]"
18,"[5.172013515, -0.721714594, 1.999990537, 4.941170208, 1.26491858, 1.999991598, 3.185380341, -0.9525579009999999, 1.999979881, 2.954537034, 1.034075273, 1.9999809419999999]"
19,"[-0.09965258836746216, 0.45777639746665955, 1.1948763132095337, -0.07412972301244736, 1.1255638599395752, 0.0026480183005332947, 0.8265289664268494, -0.6591381430625916]"
20,4
21,"[5.1720237010000005, -0.721710825, 1.9999900000000002, 4.9411809689999995, 1.264922415, 1.9999900000000002, 3.18539046, -0.952553557, 1.9999899980000002, 2.9545477289999997, 1.0340796840000002, 1.9999899980000002]"
22,"[35.12519313, 3.134259213, -0.512517867, 0.049999392999999996, 34.62706864, 3.0051723089999998, 0.598404872, 0.049648488]"
23,"[5.753631912, -0.624650819, 1.9999905169999999, 5.458880227000001, 1.3535103080000002, 1.99999159, 3.775470786, -0.919402504, 1.999980013, 3.4807191, 1.058758623, 1.9999810869999999]"
24,"[-0.027350110933184624, 0.6088880896568298, 1.1181244850158691, -0.03274064511060715, 1.2512726783752441, -0.09054822474718094, 0.9477468729019165, -0.6910261511802673]"
25,5
26,"[5.753641916, -0.62464671, 1.9999900000000002, 5.458890696, 1.353514486, 1.9999900000000002, 3.77548072, -0.9193979309999999, 1.9999899980000002, 3.4807294989999997, 1.058763265, 1.9999899980000002]"
27,"[31.92340886, 3.713656665, -0.48080376799999996, 0.052421064, 36.7151013, 3.5452856489999998, 0.625508437, 0.049917422999999995]"
28,"[6.267005136, -0.571225494, 1.999990519, 5.978278851000001, 1.407824059, 1.999991591, 4.2879555830000005, -0.8599517790000001, 1.999979995, 3.999229298, 1.119097774, 1.9999810669999998]"
29,"[0.04191501438617706, 0.7615713477134705, 1.0544781684875488, 0.005184866487979889, 1.3972011804580688, -0.17829260230064392, 1.082532525062561, -0.7227542996406555]"
30,6
31,"[6.267015163, -0.571221416, 1.9999900000000002, 5.978289352999999, 1.407828206, 1.9999900000000002, 4.287965541, -0.859947225, 1.9999899980000002, 3.9992397310000003, 1.119102397, 1.9999899980000002]"
32,"[44.82345433, 4.224364055, -0.423995539, 0.058661553, 34.14109931, 4.066132464, 0.691634787, 0.06183286]"
33,"[6.597957855, -0.511772845, 1.999989995, 6.3343476160000005, 1.470778451, 1.999989995, 4.615406559, -0.7753830840000001, 1.9999900000000002, 4.35179632, 1.207168212, 1.9999900000000002]"
34,"[0.10809171199798584, 0.9173373579978943, 1.0041917562484741, 0.040288932621479034, 1.563205599784851, -0.2615324854850769, 1.2322096824645996, -0.7565410733222961]"
35,7
36,"[6.597957804, -0.511772574, 1.9999900000000002, 6.3343476579999995, 1.470778735, 1.9999900000000002, 4.615406495, -0.77538272, 1.9999900000000002, 4.35179635, 1.2071685890000001, 1.9999900000000002]"
37,"[46.7488576, 4.559523227, -0.355097495, 0.040739418, 45.75551311, 4.406849274, 0.793128368, 0.040670022]"
38,"[7.045723698, -0.453659284, 1.9999905269999998, 6.78037641, 1.52866027, 1.9999915940000002, 5.063404144, -0.7190065729999999, 1.999979938, 4.798056855, 1.263312982, 1.999981005]"
39,"[0.17127901315689087, 1.077480435371399, 0.9673377871513367, 0.07313049584627151, 1.749297857284546, -0.3410889208316803, 1.3977854251861572, -0.7940176725387573]"
40,8
41,"[7.045733802000001, -0.45365532700000005, 1.9999900000000002, 6.780387028, 1.5286642959999999, 1.9999900000000002, 5.063414178, -0.719002101, 1.9999899980000002, 4.798067404, 1.2633175220000001, 1.9999899980000002]"
42,"[38.94547751, 5.0052025239999995, -0.284121703, 0.063145187, 38.56023558, 4.855502203, 0.83424092, 0.06320708]"
43,"[7.42935181, -0.39986113700000003, 1.9999905230000001, 7.152815263, 1.580928488, 1.999991593, 5.448562185, -0.676397685, 1.9999799630000001, 5.172025638, 1.30439194, 1.9999810319999998]"
44,"[0.23189212381839752, 1.243190884590149, 0.9434428811073303, 0.1042710617184639, 1.9555842876434326, -0.417779803276062, 1.5801326036453247, -0.8363938927650452]"
45,9
46,"[7.42936188, -0.399857122, 1.9999900000000002, 7.152825827999999, 1.5809325719999998, 1.9999900000000002, 5.448572186, -0.676393173, 1.9999899980000002, 5.172036134, 1.304396521, 1.9999899980000002]"
47,"[33.88186285, 5.386786682, -0.23383205199999998, 0.048421252000000005, 34.82651984, 5.233050878, 0.867356696, 0.048993623]"
48,"[7.955783661, -0.328208063, 1.999990521, 7.672907839, 1.651686194, 1.999991592, 5.975889404, -0.611083886, 1.999979983, 5.693013582000001, 1.3688103719999998, 1.999981054]"
49,"[0.29048117995262146, 1.4156876802444458, 0.9317168593406677, 0.1342238187789917, 2.1822712421417236, -0.49228230118751526, 1.7800800800323486, -0.8845306038856506]"
